TradeId,EntryTime,ExitTime,CloseReason,FinalNetUSD,RawNetUSD,ActiveLot,Direction,scenario,mode,window
SHD_FVG_MICRO_RETEST_1775605836_105,2026.04.07 23:50:36,2026.04.07 23:50:42,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,BUY,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1775691915_131,2026.04.08 23:45:15,2026.04.08 23:45:29,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1775778254_163,2026.04.09 23:44:14,2026.04.09 23:58:48,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,BUY,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1776815413_374,2026.04.21 23:50:13,2026.04.21 23:53:01,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.02,SELL,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1776901538_399,2026.04.22 23:45:38,2026.04.23 01:01:07,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.05,SELL,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1777506614_539,2026.04.29 23:50:14,2026.04.30 01:02:46,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.03,BUY,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1777593004_568,2026.04.30 23:50:04,2026.04.30 23:53:09,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.17,SELL,All Safety ON 15M,DynamicLot,April
SHD_FVG_MICRO_RETEST_1778025124_83,2026.05.05 23:52:04,2026.05.06 01:01:00,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,DynamicLot,May
SHD_FVG_MICRO_RETEST_1778197508_140,2026.05.07 23:45:08,2026.05.07 23:46:07,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,DynamicLot,May
SHD_FVG_MICRO_RETEST_1778025124_83,2026.05.05 23:52:04,2026.05.06 01:01:00,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,May
SHD_FVG_MICRO_RETEST_1778197508_140,2026.05.07 23:45:08,2026.05.07 23:46:07,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,May
SHD_FVG_MICRO_RETEST_1775605836_105,2026.04.07 23:50:36,2026.04.07 23:50:42,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,BUY,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1775691915_131,2026.04.08 23:45:15,2026.04.08 23:45:29,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1775778254_163,2026.04.09 23:44:14,2026.04.09 23:58:48,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,BUY,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1776815413_374,2026.04.21 23:50:13,2026.04.21 23:53:01,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1776901538_399,2026.04.22 23:45:38,2026.04.23 01:01:07,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1777506614_539,2026.04.29 23:50:14,2026.04.30 01:02:46,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,BUY,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1777593004_568,2026.04.30 23:50:04,2026.04.30 23:53:09,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,,,0.01,SELL,All Safety ON 15M,FixedLot,April
