scenario,mode,window,reason,count
All Safety ON 15M,DynamicLot,April,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 15M,DynamicLot,April,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,7
All Safety ON 15M,DynamicLot,April,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
All Safety ON 15M,FixedLot,April,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 15M,FixedLot,April,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,7
All Safety ON 15M,FixedLot,April,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
All Safety ON 15M,DynamicLot,May,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 15M,DynamicLot,May,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,2
All Safety ON 15M,DynamicLot,May,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
All Safety ON 15M,FixedLot,May,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 15M,FixedLot,May,SESSION_BOUNDARY_USER_NO_NEW_ENTRY_BLOCKED,2
All Safety ON 15M,FixedLot,May,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
All Safety ON 5M,DynamicLot,April,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,4
All Safety ON 5M,FixedLot,April,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,4
All Safety ON 5M,DynamicLot,May,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 5M,DynamicLot,May,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
All Safety ON 5M,FixedLot,May,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2
All Safety ON 5M,FixedLot,May,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,1
