Mode,Window,TradeId,EntryTime,AllSafetyExitTime,AllSafetyCloseReason,RegressionExitTime,RegressionCloseReason,AllSafetyUSD,RegressionUSD,DirectDeltaUSD
DynamicLot,April,SHD_FVG_MICRO_RETEST_1775778254_163,2026.04.09 23:44:14,2026.04.09 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.09 23:58:48,SHADOW_SL_HIT_CONSERVATIVE,0.104,-1.838,1.942
DynamicLot,April,SHD_FVG_MICRO_RETEST_1776381005_309,2026.04.16 23:10:05,2026.04.16 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.17 01:01:00,SHADOW_TIMEOUT_CLOSE,-1.92,0.462,-2.382
DynamicLot,April,SHD_FVG_MICRO_RETEST_1776901538_399,2026.04.22 23:45:38,2026.04.22 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.23 01:01:07,SHADOW_TP1_HIT,-0.44,10.37,-10.81
DynamicLot,April,SHD_FVG_MICRO_RETEST_1777506614_539,2026.04.29 23:50:14,2026.04.29 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.30 01:02:46,SHADOW_TP1_HIT,-0.756,58.728,-59.484
FixedLot,April,SHD_FVG_MICRO_RETEST_1775778254_163,2026.04.09 23:44:14,2026.04.09 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.09 23:58:48,SHADOW_SL_HIT_CONSERVATIVE,0.104,-1.838,1.942
FixedLot,April,SHD_FVG_MICRO_RETEST_1776381005_309,2026.04.16 23:10:05,2026.04.16 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.17 01:01:00,SHADOW_TIMEOUT_CLOSE,-0.64,0.154,-0.794
FixedLot,April,SHD_FVG_MICRO_RETEST_1776901538_399,2026.04.22 23:45:38,2026.04.22 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.23 01:01:07,SHADOW_TP1_HIT,-0.088,2.074,-2.162
FixedLot,April,SHD_FVG_MICRO_RETEST_1777506614_539,2026.04.29 23:50:14,2026.04.29 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.04.30 01:02:46,SHADOW_TP1_HIT,-0.252,19.576,-19.828
DynamicLot,May,SHD_FVG_MICRO_RETEST_1778025124_83,2026.05.05 23:52:04,2026.05.05 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.05.06 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,1.969,1.2203,0.7487
DynamicLot,May,SHD_FVG_MICRO_RETEST_1778281800_163,2026.05.08 23:10:00,2026.05.08 23:56:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,2026.05.11 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,-1.999,-8.007,6.008
DynamicLot,May,SHD_FVG_MICRO_RETEST_1778715691_256,2026.05.13 23:41:31,2026.05.13 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.05.14 01:03:02,SHADOW_TP1_HIT,2.991,14.271,-11.28
FixedLot,May,SHD_FVG_MICRO_RETEST_1778025124_83,2026.05.05 23:52:04,2026.05.05 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.05.06 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,1.969,1.2203,0.7487
FixedLot,May,SHD_FVG_MICRO_RETEST_1778281800_163,2026.05.08 23:10:00,2026.05.08 23:56:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,2026.05.11 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,-1.999,-8.007,6.008
FixedLot,May,SHD_FVG_MICRO_RETEST_1778715691_256,2026.05.13 23:41:31,2026.05.13 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2026.05.14 01:03:02,SHADOW_TP1_HIT,0.997,4.757,-3.76
