Scenario,Mode,Window,TradeId,Direction,EntryTime,RegressionExitTime,RegressionCloseReason,RegressionFinalUSD,DailyExitTime,DailyCloseReason,DailyFinalUSD,ImpactVsRegression
DailyCloseON,Dynamic,April,SHD_FVG_MICRO_RETEST_1775778254_163,BUY,2026.04.09 23:44:14,2026.04.09 23:58:48,SHADOW_SL_HIT_CONSERVATIVE,-1.838,2026.04.09 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,0.104,1.9420000000000002
DailyCloseON,Dynamic,April,SHD_FVG_MICRO_RETEST_1776381005_309,SELL,2026.04.16 23:10:05,2026.04.17 01:01:00,SHADOW_TIMEOUT_CLOSE,0.462,2026.04.16 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-1.92,-2.382
DailyCloseON,Dynamic,April,SHD_FVG_MICRO_RETEST_1776901538_399,SELL,2026.04.22 23:45:38,2026.04.23 01:01:07,SHADOW_TP1_HIT,10.37,2026.04.22 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-0.44,-10.809999999999999
DailyCloseON,Dynamic,April,SHD_FVG_MICRO_RETEST_1777506614_539,BUY,2026.04.29 23:50:14,2026.04.30 01:02:46,SHADOW_TP1_HIT,58.728,2026.04.29 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-0.756,-59.484
DailyCloseON,Fixed,April,SHD_FVG_MICRO_RETEST_1775778254_163,BUY,2026.04.09 23:44:14,2026.04.09 23:58:48,SHADOW_SL_HIT_CONSERVATIVE,-1.838,2026.04.09 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,0.104,1.9420000000000002
DailyCloseON,Fixed,April,SHD_FVG_MICRO_RETEST_1776381005_309,SELL,2026.04.16 23:10:05,2026.04.17 01:01:00,SHADOW_TIMEOUT_CLOSE,0.154,2026.04.16 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-0.64,-0.794
DailyCloseON,Fixed,April,SHD_FVG_MICRO_RETEST_1776901538_399,SELL,2026.04.22 23:45:38,2026.04.23 01:01:07,SHADOW_TP1_HIT,2.074,2026.04.22 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-0.088,-2.162
DailyCloseON,Fixed,April,SHD_FVG_MICRO_RETEST_1777506614_539,BUY,2026.04.29 23:50:14,2026.04.30 01:02:46,SHADOW_TP1_HIT,19.576,2026.04.29 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-0.252,-19.828
DailyCloseON,Dynamic,May,SHD_FVG_MICRO_RETEST_1778025124_83,SELL,2026.05.05 23:52:04,2026.05.06 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,1.2203,2026.05.05 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,1.969,0.7487000000000001
DailyCloseON,Dynamic,May,SHD_FVG_MICRO_RETEST_1778281800_163,BUY,2026.05.08 23:10:00,2026.05.11 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,-8.007,2026.05.08 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-1.999,6.007999999999999
DailyCloseON,Dynamic,May,SHD_FVG_MICRO_RETEST_1778715691_256,BUY,2026.05.13 23:41:31,2026.05.14 01:03:02,SHADOW_TP1_HIT,14.271,2026.05.13 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,2.991,-11.280000000000001
DailyCloseON,Fixed,May,SHD_FVG_MICRO_RETEST_1778025124_83,SELL,2026.05.05 23:52:04,2026.05.06 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,1.2203,2026.05.05 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,1.969,0.7487000000000001
DailyCloseON,Fixed,May,SHD_FVG_MICRO_RETEST_1778281800_163,BUY,2026.05.08 23:10:00,2026.05.11 01:01:00,SHADOW_SL_HIT_CONSERVATIVE,-8.007,2026.05.08 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,-1.999,6.007999999999999
DailyCloseON,Fixed,May,SHD_FVG_MICRO_RETEST_1778715691_256,BUY,2026.05.13 23:41:31,2026.05.14 01:03:02,SHADOW_TP1_HIT,4.757,2026.05.13 23:56:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,0.997,-3.76
